code,units,body,helpers,early,day,night,deep,is_increase,content
160232,581,あり,2,0,3.5,0,0,TRUE,身体あり日中増３．５・２人
160233,664,あり,1,0,4,0,0,TRUE,身体あり日中増４．０
160234,664,あり,2,0,4,0,0,TRUE,身体あり日中増４．０・２人
160235,747,あり,1,0,4.5,0,0,TRUE,身体あり日中増４．５
160236,747,あり,2,0,4.5,0,0,TRUE,身体あり日中増４．５・２人
160237,830,あり,1,0,5,0,0,TRUE,身体あり日中増５．０
160238,830,あり,2,0,5,0,0,TRUE,身体あり日中増５．０・２人
160239,913,あり,1,0,5.5,0,0,TRUE,身体あり日中増５．５
160240,913,あり,2,0,5.5,0,0,TRUE,身体あり日中増５．５・２人
160241,996,あり,1,0,6,0,0,TRUE,身体あり日中増６．０
160242,996,あり,2,0,6,0,0,TRUE,身体あり日中増６．０・２人
160243,"1,079",あり,1,0,6.5,0,0,TRUE,身体あり日中増６．５
160244,"1,079",あり,2,0,6.5,0,0,TRUE,身体あり日中増６．５・２人
160245,"1,162",あり,1,0,7,0,0,TRUE,身体あり日中増７．０
160246,"1,162",あり,2,0,7,0,0,TRUE,身体あり日中増７．０・２人
160247,"1,245",あり,1,0,7.5,0,0,TRUE,身体あり日中増７．５
160248,"1,245",あり,2,0,7.5,0,0,TRUE,身体あり日中増７．５・２人
160249,"1,328",あり,1,0,8,0,0,TRUE,身体あり日中増８．０
160250,"1,328",あり,2,0,8,0,0,TRUE,身体あり日中増８．０・２人
160251,"1,411",あり,1,0,8.5,0,0,TRUE,身体あり日中増８．５
160252,"1,411",あり,2,0,8.5,0,0,TRUE,身体あり日中増８．５・２人
160253,"1,494",あり,1,0,9,0,0,TRUE,身体あり日中増９．０
160254,"1,494",あり,2,0,9,0,0,TRUE,身体あり日中増９．０・２人
160255,"1,577",あり,1,0,9.5,0,0,TRUE,身体あり日中増９．５
160256,"1,577",あり,2,0,9.5,0,0,TRUE,身体あり日中増９．５・２人
160257,"1,660",あり,1,0,10,0,0,TRUE,身体あり日中増１０．０
160258,"1,660",あり,2,0,10,0,0,TRUE,身体あり日中増１０．０・２人
160259,"1,743",あり,1,0,10.5,0,0,TRUE,身体あり日中増１０．５
160260,"1,743",あり,2,0,10.5,0,0,TRUE,身体あり日中増１０．５・２人
160261,104,あり,1,0.5,0,0,0,TRUE,身体あり早朝増０．５
160262,104,あり,2,0.5,0,0,0,TRUE,身体あり早朝増０．５・２人
160263,208,あり,1,1,0,0,0,TRUE,身体あり早朝増１．０
160264,208,あり,2,1,0,0,0,TRUE,身体あり早朝増１．０・２人
160265,311,あり,1,1.5,0,0,0,TRUE,身体あり早朝増１．５
160266,311,あり,2,1.5,0,0,0,TRUE,身体あり早朝増１．５・２人
160267,415,あり,1,2,0,0,0,TRUE,身体あり早朝増２．０
160268,415,あり,2,2,0,0,0,TRUE,身体あり早朝増２．０・２人
160269,519,あり,1,2.5,0,0,0,TRUE,身体あり早朝増２．５
160270,519,あり,2,2.5,0,0,0,TRUE,身体あり早朝増２．５・２人
160271,104,あり,1,0,0,0.5,0,TRUE,身体あり夜間増０．５
160272,104,あり,2,0,0,0.5,0,TRUE,身体あり夜間増０．５・２人
160273,208,あり,1,0,0,1,0,TRUE,身体あり夜間増１．０
160274,208,あり,2,0,0,1,0,TRUE,身体あり夜間増１．０・２人
160275,311,あり,1,0,0,1.5,0,TRUE,身体あり夜間増１．５
160276,311,あり,2,0,0,1.5,0,TRUE,身体あり夜間増１．５・２人
160277,415,あり,1,0,0,2,0,TRUE,身体あり夜間増２．０
160278,415,あり,2,0,0,2,0,TRUE,身体あり夜間増２．０・２人
160279,519,あり,1,0,0,2.5,0,TRUE,身体あり夜間増２．５
160280,519,あり,2,0,0,2.5,0,TRUE,身体あり夜間増２．５・２人
